query,generated_plan,default_plan_mean_ms,default_plan_std_ms,generated_plan_mean_ms,generated_plan_std_ms,absolute_advantage_ms,relative_advantage,n_runs,default_plan_all_runtimes_ms,generated_plan_all_runtimes_ms,default_statuses,generated_statuses,default_has_error_or_oom,default_has_timeout
(aka_title (season_nr = first))(company_type )(movie_info )(movie_info_idx )(movie_link )(name )(person_info )(role_type )(title ),"[20, 0]",50859.8627,20871.4144,1488.4993,9.705,49371.3634,34.16855,5,"41392.12,87950.09,40027.84,45534.53,39394.74","1492.58,1498.64,1475.66,1481.05,1494.57","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(char_name (name most_popular))(info_type )(title (imdb_index random)),"[20, 7, 12, 20, 12, 16, 12, 1, 12, 10, 12, 14, 12, 11, 12, 2, 12, 17, 12, 4, 12, 13, 12, 6, 12, 0, 12, 15, 12, 9]",2909.808,74.5798,86.4373,1.3986,2823.3707,33.66381,5,"2827.57,3009.91,2892.84,2960.23,2858.48","86.01,87.41,87.30,87.31,84.16","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(char_name )(company_name (name_pcode_sf most_popular))(info_type )(keyword )(kind_type )(movie_info_idx (info random)(note random))(movie_link )(person_info )(role_type )(title (season_nr > 0537)),"[20, 7, 12, 20, 12, 16, 12, 1, 12, 10, 12, 14, 12, 11, 12, 2, 12, 17, 12, 4, 12, 13, 12, 6, 12, 0, 12, 15, 12, 9]",1436.9488,89.5375,46.728,2.4995,1390.2208,30.75135,5,"1418.37,1593.88,1380.11,1379.71,1412.68","46.64,48.04,49.00,47.43,42.53","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_title (production_year = 0792))(complete_cast )(link_type )(movie_info )(role_type )(title ),"[20, 7, 1, 16, 20, 12, 1, 20, 1, 10, 1, 14, 1, 16, 20, 17, 1, 12, 1, 17, 1, 11, 1, 6, 1, 19, 1, 0, 1, 14, 1, 8]",158674.9701,25510.614,5416.5914,271.1829,153258.3787,29.294248,5,"142513.19,150084.08,146582.06,203959.65,150235.87","5521.45,5253.31,5195.74,5846.69,5265.77","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_title )(kind_type )(link_type )(name (imdb_index most_popular))(title ),"[20, 7, 12, 20, 12, 16, 12, 1, 12, 10, 12, 14, 12, 11, 12, 2, 12, 17, 12, 4, 12, 13, 12, 6, 12, 0, 12, 15, 12, 9]",3913.957,72.9241,133.9334,5.4319,3780.0237,29.223169,5,"3848.36,3906.18,3898.80,4038.10,3878.35","137.94,140.09,129.48,127.35,134.81","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_title (season_nr = 0489))(company_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[9, 4, 9, 0]",70750.0269,128161.8757,2497.0199,66.9383,68253.007,28.333786,5,"15434.04,13941.64,12012.46,12362.00,300000.00","2614.19,2472.93,2451.10,2487.48,2459.40","complete,complete,complete,complete,error","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = mode))(company_type )(movie_info )(movie_info_idx )(movie_link )(name )(person_info )(role_type )(title ),"[20, 0]",41198.5974,1262.4698,1486.6047,5.27,39711.9927,27.713215,5,"41481.66,42029.86,39459.58,42602.94,40418.94","1486.95,1479.13,1491.93,1491.05,1483.97","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_title (episode_nr = first))(company_type )(link_type )(movie_info )(movie_info_idx )(movie_keyword )(role_type )(title ),"[14, 7, 14, 20]",11363.9583,1175.9249,412.4087,6.2839,10951.5495,27.555086,5,"10930.78,10761.32,13464.50,10856.92,10806.27","415.71,402.37,417.21,410.11,416.64","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(complete_cast )(movie_companies (note random))(person_info (info random))(title ),"[20, 7, 12, 20, 12, 16, 12, 5, 12, 14, 12, 11, 12, 2, 12, 3, 12, 4, 12, 17, 12, 13, 12, 6, 12, 0, 12, 15, 12, 9]",7516.1411,227.2321,278.4257,4.159,7237.7154,26.995137,5,"7549.70,7432.48,7850.34,7526.36,7221.83","275.88,280.73,281.96,281.21,272.34","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(company_name (name_pcode_sf most_popular))(kind_type )(movie_info )(name )(person_info )(title ),"[20, 7, 12, 20, 12, 16, 12, 1, 12, 10, 12, 14, 12, 11, 12, 2, 12, 17, 12, 15, 12, 13, 12, 6, 12, 0, 12, 15, 12, 9]",2426.636,93.2463,90.3353,40.4278,2336.3008,26.862552,5,"2530.96,2380.48,2495.84,2296.38,2429.52","103.30,105.90,18.41,109.60,114.47","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_title (episode_nr = first))(char_name )(company_type )(complete_cast )(keyword )(movie_link )(name )(person_info )(role_type )(title ),"[20, 7, 12, 20, 12, 16, 12, 1, 12, 10, 12, 14, 12, 11, 12, 2, 12, 17, 12, 4, 12, 13, 12, 6, 12, 0, 12, 15, 12, 9]",14530.9472,2966.4912,560.3421,4.0793,13970.6051,25.932279,5,"12810.43,13763.25,13249.65,13031.60,19799.81","566.51,555.73,561.19,557.78,560.49","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(company_name )(keyword (phonetic_code random))(movie_link )(person_info (info random)(note most_popular))(title ),"[20, 7, 12, 20, 12, 16, 12, 5, 12, 14, 12, 11, 12, 2, 12, 3, 12, 4, 12, 17, 12, 13, 12, 6, 12, 0, 12, 15, 12, 9]",5465.8125,47.2275,211.7622,6.5727,5254.0503,25.811088,5,"5469.60,5504.04,5411.17,5425.33,5518.93","223.35,210.08,209.04,209.32,207.03","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
